geography,label,geo_level
10,"Delaware",S
10001,"Kent, DE",C
10003,"New Castle, DE",C
10005,"Sussex, DE",C
1020100,"Dover, DE",M
1037980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (DE part)",M
1042580,"Seaford, DE",M
1099999,"Nonmetropolitan, nonmicropolitan, DE",M
10000001,"01 Delaware WIB",W
